Sum of normalized_frequency	Column Labels					
1958	0.877689694	0.594563986	0.566251416	0.632314081	0.773876935	3.444696112
1959	0.742644959	0.390364658	0.828334761	0.714081691	0.561744264	3.237170332
1960	0.453400504	0.512174643	0.80604534	0.747271201	0.722082284	3.240973971
1961	0.332862619	0.736332459	0.706072221	0.786766189	0.927980633	3.490014121
1962	0.428163654	0.66603235	0.681890263	0.364732001	0.903901047	3.044719315
1963	0.319190346	0.630595562	0.794083301	0.560529389	0.864149475	3.168548073
1964	0.321402484	0.42366691	0.869247626	0.540540541	0.672023375	2.826880935
1965	0.334288443	0.361577296	0.852776641	0.702687952	0.641288034	2.892618365
1966	1.007746624	0.459313087	0.932337012	0.795228628	0.829505724	4.024131076
1967	0.393675789	0.400025398	0.958791034	0.781001968	0.571464855	3.104959045
1968	0.308525034	0.460081191	0.682002706	0.644113667	0.568335589	2.663058187
1969	0.332633949	0.286576941	0.798321478	0.614093445	0.470804974	2.502430787
1970	0.269202379	0.30393817	0.694715818	0.356041857	0.416829491	2.040727715
1971	0.389980501	0.419979001	0.554972251	0.484975751	0.549972501	2.399880006
1972	0.330143541	0.411483254	0.555023923	0.5215311	0.535885167	2.354066986
1973	0.3316083	0.557704869	0.733557755	0.597899814	0.537607396	2.758378134
1974	0.509119668	0.563491671	0.617863675	0.474519302	0.578320399	2.743314715
1975	0.311932585	0.61455375	0.637832301	0.507472415	0.675077983	2.746869035
1976	0.271633683	0.74160307	0.586383823	0.478592679	0.56913724	2.647350494
1977	0.263435195	0.696221587	0.51934367	0.425259672	0.564503989	2.468764113
1978	0.36795074	0.6119997	0.585717504	0.337913945	0.6082451	2.511826988
1979	0.508314574	0.56277685	0.424805751	0.352189383	0.446590662	2.29467722
1980	0.46158688	0.409133825	0.590971081	0.311221457	0.377661993	2.150575235
1981	0.464401945	0.588730025	0.548506235	0.274253117	0.446118404	2.322009727
1982	0.407450524	0.651193248	0.502037253	0.334691502	0.516589057	2.411961583
1983	0.482758621	0.650246305	0.420361248	0.298850575	0.463054187	2.315270936
1984	0.677991083	0.578503261	0.49743911	0.420059693	0.427429161	2.601422307
1985	0.611850931	0.57258777	0.507149167	0.310833361	0.471157936	2.473579164
1986	0.673128702	0.484652666	0.642837911	0.296176629	0.38368336	2.480479268
1987	0.461696306	0.519835841	0.622435021	0.277017784	0.536935705	2.417920657
1988	0.615948061	0.479440653	0.74912602	0.299650408	0.539370734	2.683535875
1989	0.546690812	0.635528069	0.724365326	0.33826494	0.66286261	2.907711757
1990	0.421269701	0.521431728	0.695242304	0.238621299	0.642215348	2.51878038
1991	0.461354604	0.464133848	0.633667769	0.319613129	0.558628165	2.437397515
1992	0.452651458	0.563566054	0.701459876	0.293773794	0.638508349	2.649959531
1993	0.491472369	0.465143492	0.605564169	0.260363339	0.558757277	2.381300647
1994	0.375264696	0.565577506	0.788055861	0.24124159	0.57093843	2.541078082
1995	0.444205799	0.495460314	0.602850727	0.266035341	0.468612711	2.277164893
1996	0.575481799	0.39882227	1.132226981	0.251605996	0.471092077	2.829229122
1997	0.430968139	0.314430836	0.686030915	0.180302997	0.395787067	2.007519954
1998	0.620310891	0.279507674	0.630118178	0.254989457	0.257441279	2.042367479
1999	0.615955977	0.260422564	0.674834122	0.203808963	0.283068004	2.038089631
2000	0.619806253	0.252513659	1.375051651	0.181350719	0.323676599	2.75239888
2001	0.443682802	0.241795389	0.596272125	0.239447861	0.309873703	1.831071881
2002	0.545391335	0.249880492	0.717048368	0.24336187	0.260744861	2.016426926
2003	0.576975292	0.255679247	0.685582406	0.23984071	0.332609286	2.09068694
2004	0.544429737	0.28395747	1.263930996	0.249797173	0.311712712	2.653828088
2005	0.523785326	0.30098112	2.171363796	0.211077669	0.297072275	3.504280186
2006	0.576620654	0.33199371	2.774380181	0.192206885	0.384413769	4.259615198
2007	0.575474123	0.314434315	0.854312101	0.255107086	0.310479166	2.309806791
2008	0.701590271	0.244493579	0.593162684	0.180712646	0.276384046	1.996343226
2009	0.895406805	0.209734927	0.371069487	0.208121582	0.177468015	1.861800816
2010	0.78330508	0.241616492	0.687827595	0.220182771	0.259153173	2.192085111
2011	0.734560798	0.258918297	1.08937476	0.172612198	0.239739164	2.495205217
2012	0.786288944	0.25525902	0.642705746	0.170932379	0.237026232	2.092212321
2013	0.549295413	0.177109269	0.664801458	0.166842065	0.177109269	1.735157473
2014	0.159064327	0.084210526	0.364912281	0.060818713	0.107602339	0.776608187
2015						
Grand Total	428.2606016	105.7152417	145.444536	52.18930763	120.9067775	852.5164644
