Sum of normalized_frequency	Column Labels					
1762		1.194029851	0.298507463			1.492537313
1763		0.558659218				0.558659218
1764		0.941176471	0.235294118			1.176470588
1765	0.232018561	0.696055684				0.928074246
1766		0.497512438				0.497512438
1767	1.288659794	1.546391753		0.515463918	0.257731959	3.608247423
1768	0.419287212	0.209643606				0.628930818
1769	0.182481752		0.364963504	0.364963504	0.182481752	1.094890511
1770		0.503355705		0.33557047	0.167785235	1.006711409
1771		1.680672269		0.210084034		1.890756303
1772		0.694444444	0.231481481		0.231481481	1.157407407
1773	0.148809524	0.446428571	0.297619048			0.892857143
1774		0.529661017		0.105932203		0.63559322
1775			0.090826521			0.090826521
1776			0.120772947			0.120772947
1777	0.291970803	0.145985401			0.145985401	0.583941606
1778						
1779		0.633914422	0.316957211			0.950871632
1780	0.170068027	0.510204082	0.680272109	0.170068027	0.340136054	1.870748299
1781		0.174216028		0.174216028		0.348432056
1782		0.366300366	0.183150183	0.366300366	0.183150183	1.098901099
1783		0.427350427	0.854700855	0.142450142	0.284900285	1.709401709
1784	0.282485876	0.564971751	0.847457627			1.694915254
1785		0.27100271	1.490514905	0.27100271	0.135501355	2.16802168
1786	0.129198966	0.258397933	0.387596899	0.258397933	0.129198966	1.162790698
1787	0.587544066	0.117508813	0.705052879		0.117508813	1.527614571
1788		0.840336134	0.960384154	0.600240096	0.480192077	2.881152461
1789	0.314795383	0.314795383	1.154249738	0.209863589		1.993704092
1790	0.182149362	0.455373406	0.637522769	0.182149362	0.273224044	1.730418944
1791	0.625	0.803571429	0.535714286	0.089285714	0.178571429	2.232142857
1792	0.536398467	0.459770115	1.53256705	0.229885057	0.30651341	3.0651341
1793	0.539811066	0.607287449	1.214574899	0.472334683	0.20242915	3.036437247
1794	0.819672131	0.327868852	1.147540984	0.218579235	0.054644809	2.568306011
1795	0.458481915	0.662251656	0.662251656	0.40753948	0.050942435	2.241467142
1796	0.32879286	0.375763269	0.516674495	0.32879286	0.140911226	1.690934711
1797	0.229489386	0.229489386	0.860585198	0.229489386	0.286861733	1.835915089
1798	0.204918033	0.358606557	0.665983607	0.358606557	0.153688525	1.741803279
1799	0.059559261	0.595592615	1.072066706	0.119118523	0.476474092	2.322811197
1800	0.978497222	0.374486591	0.422807441	0.084561488	0.036240638	1.89659338
1801	0.260756193	0.651890482	1.043024772	0.260756193	0.260756193	2.477183833
1802	0.10970927	1.042238069	1.15194734	0.822819528	0.10970927	3.236423478
1803	0.153767299	0.205023065	1.230138391	0.41004613	0.205023065	2.20399795
1804	0.445986125	0.64420218	0.991080278	0.247770069		2.329038652
1805	0.268240343	0.912017167	1.341201717	0.590128755	0.053648069	3.165236052
1806	0.476871722	1.049117787	1.192179304	0.619933238	0.333810205	3.671912256
1807	0.373134328	0.932835821	1.026119403	0.513059701	0.186567164	3.031716418
1808	0.302637268	0.864677907	1.253782966	0.778210117	0.172935581	3.372243839
1809	0.344234079	0.774526678	1.032702238	0.344234079	0.12908778	2.624784854
1810	0.230414747	1.344086022	1.497695853	0.537634409	0.307219662	3.917050691
1811	0.322971336	1.170771094	1.291885345	0.524828421	0.080742834	3.391199031
1812	0.319829424	1.172707889	0.817341862	0.426439232	0.142146411	2.878464819
1813	0.11342155	0.718336484	0.831758034	0.264650284	0.189035917	2.117202268
1814	0.369872226	0.941492939	0.840618695	0.537995965	0.30262273	2.992602555
1815	0.377643505	1.510574018	1.057401813	0.264350453	0.264350453	3.474320242
1816	0.346140533	1.107649706	1.038421599	0.242298373	0.20768432	2.942194531
1817	0.316344464	0.878734622	0.949033392	0.316344464	0.316344464	2.776801406
1818	0.347222222	0.810185185	1.446759259	0.78125	0.491898148	3.877314815
1819	0.231099373	1.023440079	1.35358204	0.330141961	0.297127765	3.235391218
1820	0.612088753	0.382555471	0.765110941	0.306044376	0.229533282	2.295332823
1821	0.572831424	0.736497545	1.391162029	0.327332242	0.245499182	3.273322422
1822	0.650289017	0.361271676	1.37283237	0.433526012	0.361271676	3.179190751
1823	0.218658892	0.510204082	2.040816327	0.583090379	0.29154519	3.644314869
1824	0.616438356	0.410958904	1.095890411	0.616438356	0.616438356	3.356164384
1825	0.589777195	0.589777195	1.24508519	1.048492792	0.327653997	3.80078637
1826	0.706713781	0.706713781	1.201413428	0.848056537	0.494699647	3.957597173
1827	0.408441116	0.748808713	1.15724983	0.816882233	0.272294078	3.40367597
1828	0.638792102	0.754936121	1.800232288	0.638792102	0.464576074	4.297328688
1829	0.345025877	0.287521564	1.380103508	0.40253019	0.287521564	2.702702703
1830	0.921234454	1.059419622	1.381851681	0.460617227	0.322432059	4.145555044
1831	0.819672131	0.433944069	0.964320154	0.433944069	0.530376085	3.182256509
1832	0.32527881	0.371747212	1.486988848	0.743494424	0.32527881	3.252788104
1833	0.528401585	0.616468516	0.748568912	0.440334654	0.528401585	2.862175253
1834	0.531914894	0.580270793	0.676982592	0.87040619	0.241779497	2.901353965
1835	0.443655723	0.488021295	1.020408163	0.665483585	0.221827862	2.839396628
1836	0.359856058	0.479808077	0.839664134	0.519792083	0.239904038	2.43902439
1837	0.17905103	0.671441361	0.85049239	0.313339302	0.134288272	2.148612355
1838	0.301334481	0.301334481	0.774860095	0.516573396	0.215238915	2.109341369
1839	0.444624091	0.485044462	0.727566694	0.242522231	0.404203719	2.303961196
1840	0.492610837	0.633356791	0.633356791	0.281491907	0.351864884	2.39268121
1841	0.205507604	0.493218249	0.904233457	0.657624332	0.205507604	2.466091245
1842	0.211237854	0.675961132	1.140684411	0.591465991	0.380228137	2.999577524
1843	0.32586558	0.448065173	0.936863544	0.285132383	0.448065173	2.443991853
1844	0.381679389	0.589868147	0.798056905	0.485773768	0.208188758	2.463566967
1845	0.185988841	0.309981401	0.805951643	0.464972102	0.309981401	2.076875387
1846	0.307314075	0.36877689	1.167793485	0.61462815	0.49170252	2.95021512
1847	1.198186528	0.485751295	0.874352332	0.291450777	0.161917098	3.011658031
1848	0.893371758	0.461095101	1.21037464	0.576368876	0.23054755	3.371757925
1849	0.32711809	0.556100752	0.785083415	0.556100752	0.228982663	2.453385672
1850	0.888429752	0.640495868	0.578512397	0.351239669	0.185950413	2.644628099
1851	0.172512938	0.862564692	0.661299597	0.546290972	0.40253019	2.64519839
1852	0.539215686	0.392156863	0.808823529	0.294117647	0.269607843	2.303921569
1853	0.235417212	0.418519487	0.915511378	0.313889615	0.235417212	2.118754905
1854	0.664282064	0.332141032	1.047521717	0.281042412	0.306591722	2.631578947
1855	0.50942435	0.433010698	1.095262354	0.40753948	0.152827305	2.598064187
1856	0.464088398	0.243093923	0.950276243	0.287292818	0.154696133	2.099447514
1857	0.420499343	0.289093298	0.788436268	0.210249671	0.473061761	2.181340342
1858	0.496205487	0.554582604	0.700525394	0.408639813	0.233508465	2.393461763
1859	0.398704211	0.473461251	1.221031647	0.448542238	0.224271119	2.766010466
1860	0.787855496	0.557263643	0.883935434	0.422751729	0.192159877	2.84396618
1861	0.335101927	0.251326445	0.530578051	0.307176766	0.139625803	1.563808992
1862	0.210273355	0.420546711	0.540702914	0.330429558	0.240312406	1.742264944
1863	0.420521447	0.308382394	0.532660499	0.532660499	0.308382394	2.102607233
1864	0.624855358	0.370284656	0.578569776	0.370284656	0.23142791	2.175422356
1865	0.296330066	0.364713928	0.410303168	0.227946205	0.113973102	1.413266469
1866	0.370456124	0.231535078	0.555684186	0.486223663	0.20838157	1.852280621
1867	0.267705038	0.170357751	0.997809686	0.219031394	0.316378681	1.97128255
1868	0.559409264	0.447527411	0.850302081	0.40277467	0.179010964	2.43902439
1869	0.335345406	0.178850883	0.693047172	0.290632685	0.290632685	1.788508831
1870	1.163434903	0.369344414	0.646352724	0.184672207	0.313942752	2.677746999
1871	0.617828773	0.220653133	0.772285966	0.176522507	0.353045013	2.140335393
1872	0.2289282	0.291363163	0.561914672	0.353798127	0.374609781	1.810613944
1873	0.304944457	0.261380963	0.609888913	0.239599216	0.435634938	1.851448486
1874	0.424538315	0.382084483	0.615580556	0.339630652	0.318403736	2.080237741
1875	0.456431535	0.248962656	0.622406639	0.331950207	0.331950207	1.991701245
1876	0.435853705	0.284252416	0.473754027	0.36005306	0.284252416	1.838165624
1877	0.331812526	0.331812526	0.622148486	0.559933637	0.165906263	2.011613438
1878	0.229885057	0.191570881	0.689655172	0.459770115	0.30651341	1.877394636
1879	0.858849888	0.317401046	0.653472741	0.336071695	0.242718447	2.408513816
1880	1.157894737	0.270676692	0.541353383	0.22556391	0.15037594	2.345864662
1881	0.710605791	0.337537751	0.355302896	0.319772606	0.266477172	1.989696216
1882	0.723763571	0.344649319	0.637601241	0.17232466	0.189557126	2.067895916
1883	0.493502221	0.493502221	0.509952295	0.312551406	0.296101332	2.105609475
1884	0.634559063	0.292873414	0.618288318	0.178978197	0.341685649	2.06638464
1885	0.804246421	0.209104069	0.466462924	0.160849284	0.273443783	1.914106482
1886	0.464961807	0.547990701	0.614413816	0.166057788	0.315509797	2.108933909
1887	0.450520429	0.264098182	0.621407488	0.170887059	0.357309306	1.864222464
1888	0.396946565	0.381679389	0.641221374	0.183206107	0.259541985	1.86259542
1889	0.395256917	0.228032837	0.699300699	0.16722408	0.258437215	1.748251748
1890	0.598310652	0.41060535	0.375410605	0.093852651	0.211168466	1.689347724
1891	0.432775534	0.360646278	0.577034045	0.115406809	0.201961916	1.687824582
1892	0.307486631	0.347593583	0.57486631	0.213903743	0.200534759	1.644385027
1893	0.353310652	0.327139492	0.654278985	0.209369275	0.170112536	1.71421094
1894	0.415889861	0.186433386	0.745733544	0.229456475	0.315502653	1.893015919
1895	0.405885337	0.405885337	0.507356672	0.279046169	0.304414003	1.902587519
1896	0.397486857	0.602641364	0.564174894	0.205154507	0.243620977	2.0130786
1897	0.536087866	0.65376569	0.575313808	0.222280335	0.196129707	2.183577406
1898	0.374018202	0.685700037	0.523625483	0.174541828	0.174541828	1.932427378
1899	0.290326327	0.325165486	0.60387876	0.127743584	0.278713274	1.62582743
1900	0.606726753	0.364915366	0.439657067	0.136293691	0.101121126	1.648714003
1901	0.279533301	0.449684006	0.522605737	0.279533301	0.315994166	1.84735051
1902	0.246944067	0.419804914	0.518582541	0.345721694	0.283985677	1.815038894
1903	0.213980029	0.439847836	0.677603424	0.297194484	0.249643367	1.878269139
1904	0.375302663	0.266343826	0.593220339	0.169491525	0.254237288	1.658595642
1905	0.228888086	0.325262017	0.542103361	0.216841344	0.216841344	1.529936152
1906	0.206060606	0.16969697	0.739393939	0.23030303	0.181818182	1.527272727
1907	0.303814561	0.225047823	0.573871948	0.236300214	0.180038258	1.519072803
1908	0.220531481	0.165398611	0.639541295	0.143345463	0.220531481	1.389348329
1909	0.21936697	0.156690693	0.564086493	0.156690693	0.177582785	1.274417633
1910	0.312652662	0.195407914	0.468978994	0.175867123	0.117244748	1.270151441
1911	0.457808761	0.124856935	0.634689418	0.312142337	0.218499636	1.747997087
1912	0.227655152	0.118776601	0.564188855	0.227655152	0.227655152	1.365930912
1913	0.332426715	0.130955979	0.554044525	0.161176589	0.181323663	1.359927471
1914	0.212765957	0.135396518	0.512572534	0.106382979	0.222437137	1.189555126
1915	0.217288616	0.075578649	0.547945205	0.25507794	0.292867265	1.388757676
1916	0.205973223	0.159161127	0.486845801	0.187248385	0.177885966	1.217114502
1917	0.288406076	0.096135359	0.721015189	0.221111325	0.27879254	1.605460488
1918	0.218636127	0.17699115	0.614263404	0.166579906	0.197813639	1.374284227
1919	0.188735472	0.139068243	0.596006755	0.178802026	0.188735472	1.291347969
1920	0.175269477	0.087634738	0.692314433	0.210323372	0.262904215	1.428446236
1921	0.139201199	0.074954492	0.61034372	0.203447907	0.278402399	1.306349716
1922	0.173310225	0.067398421	0.702869247	0.154053534	0.211823609	1.309455036
1923	0.18076301	0.123679954	0.694510513	0.199790695	0.390067548	1.588811721
1924	0.116675642	0.062825346	0.673128702	0.197451086	0.359001975	1.40908275
1925	0.205137353	0.098109169	0.624331074	0.258651445	0.285408491	1.471637531
1926	0.145137881	0.136600359	0.665926748	0.298813284	0.315888329	1.562366601
1927	0.184532797	0.218084214	0.511659118	0.234859923	0.360677739	1.50981379
1928	0.138866198	0.155203398	0.710668191	0.187877798	0.269563797	1.462179382
1929	0.120880006	0.378757354	0.652752035	0.233701346	0.265936014	1.652026755
1930	0.154570882	0.191373473	0.5667599	0.139849845	0.206094509	1.258648609
1931	0.185309973	0.185309973	0.598045822	0.235849057	0.320080863	1.524595687
1932	0.228770132	0.201317716	0.567349927	0.137262079	0.292825769	1.427525622
1933	0.175953079	0.146627566	0.45943304	0.127077224	0.322580645	1.231671554
1934	0.178268251	0.127334465	0.534804754	0.178268251	0.365025467	1.383701188
1935	0.189465707	0.068207654	0.469874953	0.17430845	0.310723759	1.212580523
1936	0.198640079	0.145160058	0.527160211	0.114600046	0.320880128	1.306440523
1937	0.149042403	0.089425442	0.476935688	0.156494523	0.327893286	1.199791341
1938	0.127723516	0.07513148	0.450788881	0.127723516	0.293012772	1.074380165
1939	0.122047527	0.093330462	0.488190107	0.093330462	0.208198722	1.005097279
1940	0.228903737	0.154664687	0.569166048	0.160851274	0.266023262	1.379609008
1941	0.131769667	0.224008433	0.5929635	0.151535117	0.1976545	1.297931216
1942	0.072912869	0.174990886	0.648924535	0.160408312	0.196864747	1.254101349
1943	0.11471398	0.107066381	0.474151117	0.145304374	0.137656776	0.978892628
1944	0.101514915	0.218647509	0.577854131	0.070279556	0.156176792	1.124472903
1945	0.065982405	0.168621701	0.329912023	0.073313783	0.153958944	0.791788856
1946	0.063362433	0.309771895	0.450577302	0.091523515	0.260490003	1.175725148
1947	0.137722077	0.247899738	0.468255061	0.068861038	0.337419088	1.260157003
1948	0.134885702	0.241374414	0.447252591	0.17038194	0.262672157	1.256566804
1949	0.093444508	0.215641173	0.32346176	0.122196665	0.287521564	1.04226567
1950	0.317677837	0.280303974	0.392425564	0.099663635	0.305219883	1.395290893
1951	0.253592561	0.302902226	0.373344604	0.126796281	0.246548323	1.303183995
1952	0.177741318	0.239267159	0.37599125	0.136724091	0.341810227	1.271534044
1953	0.149554587	0.292606801	0.396644775	0.0975356	0.312113922	1.248455686
1954	0.192826841	0.295667824	0.353515876	0.134978789	0.302095385	1.279084715
1955	0.237073108	0.237073108	0.480553598	0.153777151	0.262702633	1.371179599
1956	0.161319233	0.250941029	0.328613252	0.125470514	0.394335902	1.260679931
1957	0.220494372	0.243704305	0.359753975	0.121852153	0.377161425	1.32296623
1958	0.227285641	0.227285641	0.335246321	0.16478209	0.431842718	1.386442412
1959	0.16893733	0.21253406	0.365122616	0.277929155	0.326975477	1.351498638
1960	0.263306376	0.173970284	0.404363363	0.164566485	0.319729171	1.325935678
1961	0.19789555	0.212375712	0.390964379	0.207548991	0.53093928	1.539723912
1962	0.236720008	0.123094404	0.544456017	0.198844806	0.416627213	1.519742449
1963	0.267804457	0.131632699	0.621851028	0.245109164	0.481140212	1.747537561
1964	0.254407498	0.178531578	0.544521312	0.254407498	0.441865655	1.673733542
1965	0.150413638	0.146235481	0.58912008	0.313361745	0.513913261	1.713044205
1966	0.182112505	0.178065561	0.513961959	0.267098341	0.485633347	1.626871712
1967	0.216391669	0.170022026	0.525522625	0.533250898	0.324587503	1.769774721
1968	0.26131763	0.10673537	0.47110784	0.31652558	0.37173353	1.527419948
1969	0.686872728	0.206728685	0.353439365	0.200060018	0.246740689	1.693841486
1970	0.305493274	0.089686099	0.355941704	0.277466368	0.271860987	1.30044843
1971	0.305014135	0.107870853	0.334771611	0.167385806	0.305014135	1.220056539
1972	0.139649801	0.150392094	0.286461131	0.157553622	0.318688008	1.052744656
1973	0.151896986	0.148444782	0.369385853	0.117374944	0.238202092	1.025304657
1974	0.174843155	0.143988481	0.291405259	0.178271453	0.263978882	1.05248723
1975	0.154715458	0.131171801	0.433875959	0.188349253	0.242163326	1.150275797
1976	0.196053224	0.1767693	0.331040689	0.10606158	0.189625249	0.999550042
1977	0.205021448	0.113550341	0.353267726	0.126167045	0.167171335	0.965177896
1978	0.285357017	0.128250345	0.304594569	0.157106672	0.23085062	1.106159223
1979	0.371924471	0.17483629	0.387818679	0.127153665	0.232055439	1.293788543
1980	0.444735867	0.165350515	0.319297545	0.193859224	0.259429256	1.382672406
1981	0.268653852	0.143921707	0.339015576	0.172706048	0.22707647	1.151373653
1982	0.255595242	0.07864469	0.360454828	0.180227414	0.193334863	1.068257037
1983	0.254921399	0.08214134	0.300240759	0.1557853	0.195439739	0.988528537
1984	0.271438942	0.091531736	0.315626677	0.094688003	0.271438942	1.0447243
1985	0.472939113	0.084565272	0.344525182	0.263091957	0.194186921	1.359308444
1986	0.341382442	0.075166776	0.272479564	0.112750164	0.19104889	0.992827837
1987	0.28083174	0.050788719	0.310707457	0.10456501	0.1583413	0.905234226
1988	0.316131	0.0526885	0.268988658	0.127561632	0.219073237	0.984443027
1989	0.322916097	0.062941273	0.251765092	0.082097313	0.180614088	0.900333862
1990	0.327022815	0.076645972	0.252931708	0.079200838	0.199279528	0.935080862
1991	0.317845884	0.085275725	0.245490723	0.113700966	0.18864024	0.950953538
1992	0.332217738	0.059060931	0.228861108	0.10335663	0.167339305	0.890835712
1993	0.234563806	0.047386627	0.246410463	0.108989243	0.170591859	0.807941999
1994	0.260404664	0.029958059	0.214315343	0.124441167	0.140572429	0.769691662
1995	0.236966825	0.041688608	0.212831315	0.100930314	0.168948569	0.761365631
1996	0.223747338	0.055936834	0.238807255	0.081753835	0.204384587	0.804629849
1997	0.242493252	0.056933198	0.234058704	0.101214575	0.168690958	0.803390688
1998	0.231197017	0.0520714	0.245777009	0.089562809	0.156214201	0.774822437
1999	0.220164476	0.079863584	0.230956852	0.105765287	0.161885644	0.798635844
2000	0.209084509	0.061871946	0.16214717	0.1109428	0.179215293	0.723261718
2001	0.184655572	0.076564506	0.20267075	0.065305019	0.153129011	0.682324859
2002	0.198689495	0.069752695	0.221940393	0.076093849	0.133164236	0.699640668
2003	0.192194291	0.089545067	0.262083124	0.072072859	0.141961692	0.757857034
2004	0.24081624	0.04647331	0.289401973	0.071822387	0.118295697	0.766809607
2005	0.273206411	0.092502958	0.33989459	0.079595568	0.169947295	0.955146822
2006	0.174963194	0.081080504	0.32218832	0.078946807	0.142957731	0.800136557
2007	0.255134583	0.065909767	0.321044351	0.076540375	0.123315049	0.841944126
2008	0.187344339	0.055101276	0.249057768	0.121222808	0.143263318	0.755989509
2009	0.126379454	0.067703279	0.252758909	0.108325247	0.12863623	0.683803119
2010	0.162898286	0.093395017	0.215025738	0.117286766	0.119458743	0.708064551
2011	0.153295861	0.055743949	0.167231848	0.125423886	0.116133228	0.617828773
2012	0.119334648	0.04870802	0.107157644	0.129076252	0.109593044	0.513869609
2013	0.118736642	0.073880577	0.142483971	0.118736642	0.113459458	0.56729729
2014	0.144201579	0.064511233	0.09486946	0.09486946	0.106253795	0.504705525
2015	0.125234815		0.125234815	0.313087038	0.062617408	0.626174076
Grand Total	89.48076296	212.8122538	168.117155	73.81845205	70.64346307	614.8720869
