Sum of normalized_frequency	Column Labels				
1912	1.242236025	0.207039337	0.414078675	1.035196687	2.898550725
1913	0.373831776	0.186915888		0.934579439	1.495327103
1914	0.609756098	0.81300813	0.406504065	1.016260163	2.845528455
1915	1.075268817	0.215053763	0.860215054	1.290322581	3.440860215
1916	1.568627451		0.392156863	1.176470588	3.137254902
1917	0.464037123	0.464037123		0.928074246	1.856148492
1918	0.85106383	0.85106383	0.212765957	0.85106383	2.765957447
1919	0.330578512	0.661157025	0.495867769	1.487603306	2.975206612
1920	0.149253731	0.597014925	0.597014925	0.298507463	1.641791045
1921	0.400801603	1.002004008	0.400801603	0.200400802	2.004008016
1922	0.480769231	0.641025641	0.480769231	1.442307692	3.044871795
1923	0.366300366		0.366300366	0.732600733	1.465201465
1924	0.157728707	0.94637224	0.630914826	1.735015773	3.470031546
1925	0.141043724	1.128349788		1.410437236	2.679830748
1926	0.414937759	0.553250346	0.138312586	1.383125864	2.489626556
1927	0.589970501	1.032448378	1.769911504	2.359882006	5.752212389
1928	0.544662309	1.089324619	0.544662309	1.633986928	3.812636166
1929	0.410958904	0.95890411	0.821917808	0.95890411	3.150684932
1930	0.662251656	0.993377483	0.772626932	0.883002208	3.311258278
1931	0.723589001	1.302460203	1.447178003	0.434153401	3.907380608
1932	0.693481276	1.386962552	0.693481276	0.138696255	2.912621359
1933	0.828402367	1.893491124	0.591715976	0.946745562	4.26035503
1934	0.439077936	1.536772777	0.219538968	1.097694841	3.293084523
1935	0.652376514	1.863932898	0.55917987	1.118359739	4.193849021
1936	0.536809816	1.380368098	0.460122699	0.460122699	2.837423313
1937	0.687285223	1.443298969	0.412371134	0.756013746	3.298969072
1938	0.41567696	1.009501188	0.534441805	0.712589074	2.672209026
1939	0.966458215	0.966458215	0.511654349	1.137009665	3.581580443
1940	0.843672457	1.58808933	1.141439206	1.538461538	5.111662531
1941	1.105263158	0.894736842	1.157894737	0.947368421	4.105263158
1942	0.811359026	0.963488844	0.659229209	1.521298174	3.955375254
1943	0.60918463	1.077788191	0.890346767	1.780693533	4.358013121
1944	0.757934628	0.947418285	0.568450971	1.326385599	3.600189484
1945	0.329722091	1.177578898	0.894959962	0.80075365	3.203014602
1946	0.504767246	1.850813236	0.560852496	1.177790241	4.094223219
1947	0.426742532	2.204836415	0.640113798	2.204836415	5.476529161
1948	0.460829493	1.996927803	0.384024578	1.305683564	4.147465438
1949	0.39556962	2.373417722	0.553797468	1.977848101	5.300632911
1950	0.254291163	2.22504768	0.317863954	1.52574698	4.322949777
1951	0.473933649	1.579778831	0.631911532	1.579778831	4.265402844
1952	0.673148841	1.944652206	0.673148841	1.645474944	4.936424832
1953	0.213371266	1.849217639	0.924608819	1.422475107	4.409672831
1954	0.56980057	1.638176638	0.641025641	1.13960114	3.988603989
1955	0.485100485	1.316701317	0.485100485	1.871101871	4.158004158
1956	0.304506699	1.461632156	0.913520097	1.096224117	3.775883069
1957	0.276701716	1.826231323	0.553403431	0.996126176	3.652462645
1958	0.682982356	1.992031873	0.62606716	0.967558338	4.268639727
1959	0.597826087	1.576086957	0.760869565	1.467391304	4.402173913
1960	0.593065693	1.459854015	0.547445255	0.638686131	3.239051095
1961	0.389673648	1.363857769	0.974184121	1.656113005	4.383828544
1962	0.782396088	1.271393643	0.391198044	1.026894866	3.471882641
1963	0.468994268	1.6154247	0.833767587	1.042209484	3.96039604
1964	0.873138161	1.797637391	0.667693888	0.770416025	4.108885465
1965	0.993377483	1.608325449	0.851466414	0.662251656	4.115421003
1966	0.922934933	1.476695893	1.061375173	0.507614213	3.968620212
1967	0.865209472	1.639344262	0.637522769	0.910746812	4.052823315
1968	1.0430839	1.859410431	0.725623583	0.952380952	4.580498866
1969	1.030444965	1.826697892	0.843091335	0.655737705	4.355971897
1970	0.661084178	1.762891141	0.352578228	0.6170119	3.393565447
1971	1.455525606	1.940700809	0.592991914	1.132075472	5.121293801
1972	0.687960688	1.916461916	0.58968059	0.58968059	3.783783784
1973	0.917010546	1.925722146	0.412654746	0.687757909	3.943145346
1974	0.739130435	1.652173913	0.565217391	0.47826087	3.434782609
1975	0.67904029	1.493888637	0.950656406	0.633770937	3.75735627
1976	0.649350649	1.339285714	0.689935065	0.487012987	3.165584416
1977	0.394166338	1.34016555	0.985415845	0.906582578	3.626330311
1978	0.685871056	0.720164609	0.823045267	0.480109739	2.709190672
1979	0.604122246	0.817341862	1.030561478	0.92395167	3.375977257
1980	0.70650574	1.295260524	0.912569915	0.912569915	3.826906094
1981	0.615683733	0.583279326	0.97213221	0.680492547	2.851587816
1982	0.636758321	0.984081042	0.607814761	0.752532562	2.981186686
1983	0.53217223	0.749879052	0.99177552	0.604741171	2.878567973
1984	0.680751174	1.03286385	0.610328638	0.798122066	3.122065728
1985	0.708306504	1.008800172	0.815625671	0.493668169	3.026400515
1986	0.629458666	0.986151909	0.713386488	0.629458666	2.958455728
1987	0.903614458	0.865963855	0.960090361	0.451807229	3.181475904
1988	0.861354978	0.662580752	0.496935564	0.513500083	2.534371377
1989	1.210777626	0.68212824	0.477489768	0.358117326	2.72851296
1990	1.117606602	0.550206327	0.876891334	0.481430536	3.026134801
1991	0.788412175	0.586725339	0.586725339	0.513384672	2.475247525
1992	0.650650651	0.3670337	0.700700701	0.4671338	2.185518852
1993	0.855666774	0.50048434	0.532773652	0.387471747	2.276396513
1994	0.897519582	0.489556136	0.620104439	0.603785901	2.610966057
1995	0.988411725	0.426039536	0.630538514	0.562372188	2.607361963
1996	0.811084826	0.405542413	0.62521122	0.337952011	2.17979047
1997	0.98178939	0.63341251	0.45922407	0.712589074	2.787015044
1998	0.666161998	0.454201363	0.711582135	0.605601817	2.437547313
1999	0.893997446	0.526819923	0.574712644	0.462962963	2.458492976
2000	0.741350906	0.56287754	0.919824272	0.604063701	2.82811642
2001	0.721393035	0.373134328	1.268656716	0.323383085	2.686567164
2002	0.876853643	0.399742102	1.225016119	0.270793037	2.7724049
2003	0.618062563	0.428859738	1.286579213	0.428859738	2.762361251
2004	0.604159405	0.395027303	1.347740211	0.197513652	2.544440572
2005	0.662888913	0.38490324	2.020742008	0.22452689	3.29306105
2006	0.814814815	0.37037037	1.80952381	0.201058201	3.195767196
2007	0.60691449	0.325132763	1.842418988	0.249268451	3.023734692
2008	0.789942145	0.267022697	1.913662661	0.200267023	3.170894526
2009	0.839964633	0.232095491	1.282051282	0.276304156	2.630415561
2010	0.446903597	0.276654607	3.138965737	0.223451798	4.08597574
2011	0.576404219	0.257542311	0.760363012	0.208486632	1.802796174
2012	0.663533315	0.276472215	0.470002765	0.110588886	1.52059718
2013	0.29033596	0.165906263	0.331812526	0.103691414	0.891746163
2014	0.193548387	0.064516129		0.129032258	0.387096774
Grand Total	103.5884052	109.1036297	107.0868931	157.0412156	476.8201435
