group	year	frequency	normalized_frequency
Judaism	1962	60	0.0719131289402402
Judaism	1961	78	0.09858567474310849
Judaism	1960	69	0.08189619360734929
Judaism	195u	28	0.6696962449174839
Judaism	1959	53	0.07247070405972679
Judaism	1958	48	0.0673447913012978
Judaism	1957	42	0.06241733418537948
Judaism	1956	53	0.08408294068186506
Judaism	1955	46	0.07742152655053439
Judaism	1954	36	0.06290626965820927
Judaism	1953	44	0.08073987081620669
Judaism	1952	51	0.09845749917952085
Judaism	1951	44	0.08893919793014231
Judaism	1950	73	0.13316793753876463
Judaism	194u	80	2.3640661938534278
Judaism	1949	55	0.11678522136107866
Judaism	1948	77	0.16662699357295882
Judaism	1947	101	0.21529213650800416
Judaism	1946	122	0.2555990865475268
Judaism	1945	78	0.19691996970462003
Judaism	1944	50	0.1382819846230433
Judaism	1943	52	0.13787983242297291
Judaism	1942	56	0.15088645794039984
Judaism	1941	59	0.14306845461820122
Judaism	1940	78	0.16447021613073273
Judaism	193u	120	3.1144562678432393
Judaism	1939	153	0.32129357412851745
Judaism	1938	138	0.27972027972027974
Judaism	1937	163	0.3103047840240629
Judaism	1936	187	0.3523316062176166
Judaism	1935	182	0.3479590861294331
Judaism	1934	180	0.36412185944896225
Judaism	1933	184	0.39929689025845794
Judaism	1932	144	0.3217877094972067
Judaism	1931	136	0.2855403220726868
Judaism	1930	160	0.292713269058378
Judaism	192u	95	4.5761078998073215
Judaism	1929	131	0.26419280024200864
Science	uuuu	4	0.003946914006611081
Science	20uu	2	0.24449877750611246
Science	2015	1	0.02493143854400399
Science	2014	57	0.05476030358343741
Science	2013	100	0.05813750683115706
Science	2012	120	0.06297493597548176
Science	2011	138	0.06806814706665745
Science	2010	133	0.06317899607150153
Science	200u	7	0.030689640054364503
Science	2009	132	0.06052907917845531
Science	2008	145	0.06915893199530673
Science	2007	136	0.06423153579491249
Science	2006	120	0.0583073379784846
Science	2005	143	0.06965043275810844
Science	2004	128	0.06338359454306866
Science	2003	113	0.05873272452273164
Science	2002	155	0.0764684407344917
Science	2001	132	0.06531420089064818
Science	2000	158	0.07435504061291143
Science	1uuu	12	0.055707720161552385
Science	19uu	70	0.05555246930726071
Science	199u	16	0.10054672280525358
Science	1999	134	0.0648646555396352
Science	1998	148	0.07132392628575834
Science	1997	142	0.06799366030941904
Science	1996	185	0.09449478490943825
Science	1995	145	0.074486939100506
Science	1994	139	0.07413096114257677
Science	1993	136	0.07552576483720311
Science	1992	160	0.0920270099274137
Science	1991	167	0.0970292772771377
Science	1990	179	0.10297713217316266
Science	198u	2	0.027901785714285712
Science	1989	178	0.10644532417983281
Science	1988	166	0.09980699971741391
Science	1987	185	0.11621698024311335
Science	1986	176	0.11147707119331138
Science	1985	148	0.09729161188535367
Science	1984	173	0.1190156784237646
Science	1983	154	0.10455705828037586
Science	1982	149	0.10866632146269244
Science	1981	154	0.11324278812568479
Science	1980	154	0.10734400267662968
Science	197u	2	0.02914602156805596
Science	1979	164	0.12330363520168415
Science	1978	173	0.1318899138522528
Science	1977	165	0.12715978976248093
Science	1976	164	0.13334742696382546
Science	1975	172	0.14377183743751776
Science	1974	164	0.1400070003500175
Science	1973	149	0.12821395380855677
Science	1972	156	0.1352605065332559
Science	1971	157	0.13946753604391895
Science	1970	143	0.11241519727687942
Science	196u	2	0.03496503496503497
Science	1969	135	0.11879933472372554
Science	1968	177	0.16257922292642601
Science	1967	159	0.15501759790969982
Science	1966	142	0.14442342507272024
Science	1965	130	0.13556776824168604
Science	1964	119	0.13284511822099176
Science	1963	87	0.10077375712366214
Science	1962	99	0.11865666275139632
Science	1961	95	0.12007229616147828
Science	1960	110	0.13055914922910758
Science	195u	2	0.04783544606553456
Science	1959	67	0.09161390890569236
Science	1958	65	0.09119607155384075
Science	1957	86	0.12780692237958657
Science	1956	56	0.0888423524185744
Science	1955	58	0.097618446520239
Science	1954	67	0.11707555741944503
Science	1953	74	0.13578978273634762
Science	1952	63	0.12162396957470221
Science	1951	51	0.10308861578266496
Science	1950	68	0.12404684592652049
Science	194u	3	0.08865248226950355
Science	1949	51	0.10829175071663659
Science	1948	83	0.1796109151500725
Science	1947	52	0.11084347622194275
Science	1946	42	0.08799312815570594
Science	1945	34	0.08583690987124463
Science	1944	18	0.04978151446429559
Science	1943	24	0.0636368457336798
Science	1942	31	0.08352643207414992
Science	1941	36	0.08729600620771599
Science	1940	34	0.0716921454928835
Science	193u	3	0.07786140669608098
Science	1939	36	0.0755984880302394
Science	1938	49	0.09932096888618629
Science	1937	56	0.10660777856041424
Science	1936	40	0.07536504945831371
Science	1935	42	0.08029825064525381
Science	1934	54	0.10923655783468868
Science	1933	46	0.09982422256461448
Science	1932	52	0.11620111731843576
Science	1931	33	0.06928551932646076
Science	1930	47	0.08598452278589853
Science	1929	54	0.10890390238983563
Science	1928	47	0.09633713899194457
Science	1927	53	0.11151790598830114
